Model;Sku;Product Name;Description;Meta Tag Title;Meta Tag Description;Meta Tag Keywords;Product Tags;Width;Metal;Manufacturer;Category1;Category 2;Category 3;Stone Breakdown;Diamond CTTW provided;Color;Clarity;Price ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
885912;885912;14k White Gold Diamond Halo-Style Earrings;Classic and stylish, these diamond stud earrings feature a halo of pave set diamonds around the center diamond which sparkle from all angles. Crafted with pride in USA.;14k White Gold Diamond Halo-Style Earrings;Classic and stylish, these diamond stud earrings feature a halo of pave set diamonds around the center diamond which sparkle from all angles. Crafted with pride in USA.;bands,fashion jewelry,studs,diamond earrings,stackable rings,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;;14K White Gold;Stuller;Diamond Earrings;;;29;0.25ctw;G/H;I1;$495,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
885912;885912;14k White Gold Diamond Halo-Style Earrings;Classic and stylish, these diamond stud earrings feature a halo of pave set diamonds around the center diamond which sparkle from all angles. Crafted with pride in USA.;14k White Gold Diamond Halo-Style Earrings;Classic and stylish, these diamond stud earrings feature a halo of pave set diamonds around the center diamond which sparkle from all angles. Crafted with pride in USA.;bands,fashion jewelry,studs,diamond earrings,stackable rings,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;;14K White Gold;Stuller;Diamond Earrings;;;35;0.50ctw;G/H;I1;$1 195,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
886288;886288;14k White Gold Diamond Cluster Earrings;These trendy cluster style stud earrings feature bead set diamonds in a petite circular design. Crafted with pride in USA.;14k White Gold Diamond Cluster Earrings;These trendy cluster style stud earrings feature bead set diamonds in a petite circular design. Crafted with pride in USA.;bands,fashion jewelry,studs,diamond earrings,stackable rings,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;;14K White Gold;Stuller;Diamond Earrings;;;18;0.50ctw;G/H;I1;$850,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8651754;8651754;14k White Gold Diamond Cluster Earrings;These trendy cluster style stud earrings feature bead set diamonds in a circular design which sparkle from all angles. Crafted with pride in USA.;14k White Gold Diamond Cluster Earrings;These trendy cluster style stud earrings feature bead set diamonds in a circular design which sparkle from all angles. Crafted with pride in USA.;bands,fashion jewelry,studs,diamond earrings,stackable rings,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;;14K White Gold;Stuller;Diamond Earrings;;;38;0.33ctw;G/H;I1;$750,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
886460;886460;14k Rose Gold Diamond Leaf Ear Climbers;These petite trendy climber style earrings feature a leaf design with petite diamonds set through the middle. Crafted with pride in USA.;14k Rose Gold Diamond Leaf Ear Climbers;These petite trendy climber style earrings feature a leaf design with petite diamonds set through the middle. Crafted with pride in USA.;bands,fashion jewelry,studs,diamond earrings,stackable rings,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;;14K Rose Gold;;Diamond Earrings;;;14;0.04ctw;G/H;I1;$250 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
886460;886460;14k White Gold Diamond Leaf Ear Climbers;These petite trendy climber style earrings feature a leaf design with petite diamonds set through the middle. Crafted with pride in USA.;14k White Gold Diamond Leaf Ear Climbers;These petite trendy climber style earrings feature a leaf design with petite diamonds set through the middle. Crafted with pride in USA.;bands,fashion jewelry,studs,diamond earrings,stackable rings,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;;14K White Gold ;;Diamond Earrings;;;14;0.04ctw;G/H;I1;$250 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
886460;886460;14k Yellow Gold Diamond Leaf Ear Climbers;These petite trendy climber style earrings feature a leaf design with petite diamonds set through the middle. Crafted with pride in USA.;14k Yellow Gold Diamond Leaf Ear Climbers;These petite trendy climber style earrings feature a leaf design with petite diamonds set through the middle. Crafted with pride in USA.;bands,fashion jewelry,studs,diamond earrings,stackable rings,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;;14K Yellow Gold;;Diamond Earrings;;;14;0.04ctw;G/H;I1;$250 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8651755;8651755;14k Rose Gold Diamond Circle Earrings;These petite and stylish diamond earrings feature pave set diamonds in a circle. Crafted with pride in USA.;14k Rose Gold Diamond Circle Earrings;These petite and stylish diamond earrings feature pave set diamonds in a circle. Crafted with pride in USA.;bands,fashion jewelry,studs,diamond earrings,stackable rings,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;;14K Rose Gold;;Diamond Earrings;;;40;0.20ctw;G/H;I1;$595 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8651755;8651755;14k White Gold Diamond Circle Earrings;These petite and stylish diamond earrings feature pave set diamonds in a circle. Crafted with pride in USA.;14k White Gold Diamond Circle Earrings;These petite and stylish diamond earrings feature pave set diamonds in a circle. Crafted with pride in USA.;bands,fashion jewelry,studs,diamond earrings,stackable rings,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;;14K White Gold ;;Diamond Earrings;;;40;0.20ctw;G/H;I1;$595 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8651755;8651755;14k Yellow Gold Diamond Circle Earrings;These petite and stylish diamond earrings feature pave set diamonds in a circle. Crafted with pride in USA.;14k Yellow Gold Diamond Circle Earrings;These petite and stylish diamond earrings feature pave set diamonds in a circle. Crafted with pride in USA.;bands,fashion jewelry,studs,diamond earrings,stackable rings,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;;14K Yellow Gold;;Diamond Earrings;;;40;0.20ctw;G/H;I1;$595 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
