Model;Sku;Product Name;Description;Meta Tag Title;Meta Tag Description;Meta Tag Keywords;Product Tags;Width;Metal;Manufacturer;Category1;Category 2;Category 3;Stone Breakdown;Diamond CTTW provided;Color;Clarity;Price ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
865232614;865232614;14k White Gold Triple Square Diamond Fashion Ring;This stylish diamond fashion ring features three square shapes decorated with pave set diamonds.;14k White Gold Triple Square Diamond Fashion Ring;This stylish diamond fashion ring features three square shapes decorated with pave set diamonds.;;;1.65 mm;14k White Gold;Stuller;Diamond Rings;;;;0.25 ctw;G-H;SI2;$850,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
865232614;865232614;14k Yellow Gold Triple Square Diamond Fashion Ring;This stylish diamond fashion ring features three square shapes decorated with pave set diamonds.;14k Yellow Gold Triple Square Diamond Fashion Ring;This stylish diamond fashion ring features three square shapes decorated with pave set diamonds.;;;1.65 mm;14k Yellow Gold;Stuller;Diamond Rings;;;;0.25 ctw;G-H;SI2;$850,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
865232614;865232614;14k Rose Gold Triple Square Diamond Fashion Ring;This stylish diamond fashion ring features three square shapes decorated with pave set diamonds.;14k Rose Gold Triple Square Diamond Fashion Ring;This stylish diamond fashion ring features three square shapes decorated with pave set diamonds.;;;1.65 mm;14k Rose Gold;Stuller;Diamond Rings;;;;0.25 ctw;G-H;SI2;$850,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
812323114;812323114;14k White Gold Geometric Fashion Ring;Trendy and simple, this geometric style ring features a diamond shape with four pave set diamond accents along the top.;14k White Gold Geometric Fashion Ring;Trendy and simple, this geometric style ring features a diamond shape with four pave set diamond accents along the top.;;;1.7 mm;14k White Gold;Stuller;Diamond Rings;;;4;0.01 ctw;G-H;SI2;$330,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
812323114;812323114;14k Yellow Gold Geometric Fashion Ring;Trendy and simple, this geometric style ring features a diamond shape with four pave set diamond accents along the top.;14k Yellow Gold Geometric Fashion Ring;Trendy and simple, this geometric style ring features a diamond shape with four pave set diamond accents along the top.;;;1.7 mm;14k Yellow Gold;Stuller;Diamond Rings;;;4;0.01 ctw;G-H;SI2;$330,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
812323114;812323114;14k Rose Gold Geometric Fashion Ring;Trendy and simple, this geometric style ring features a diamond shape with four pave set diamond accents along the top.;14k Rose Gold Geometric Fashion Ring;Trendy and simple, this geometric style ring features a diamond shape with four pave set diamond accents along the top.;;;1.7 mm;14k Rose Gold;Stuller;Diamond Rings;;;4;0.01 ctw;G-H;SI2;$330,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
865175214;865175214;14k White Gold Diamond Criss Cross Ring;Beautiful and stylish, this criss cross ring features two rows of pave set diamonds crossing over one another.;14k White Gold Diamond Criss Cross Ring;Beautiful and stylish, this criss cross ring features two rows of pave set diamonds crossing over one another.;;;7.25 mm;14k White Gold;Stuller;Diamond Rings;;;;0.17 ctw;G-H;SI2;$600,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
865175214;865175214;14k Yellow Gold Diamond Criss Cross Ring;Beautiful and stylish, this criss cross ring features two rows of pave set diamonds crossing over one another.;14k Yellow Gold Diamond Criss Cross Ring;Beautiful and stylish, this criss cross ring features two rows of pave set diamonds crossing over one another.;;;7.25 mm;14k Yellow Gold;Stuller;Diamond Rings;;;;0.17 ctw;G-H;SI2;$625,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
865175214;865175214;14k Rose Gold Diamond Criss Cross Ring;Beautiful and stylish, this criss cross ring features two rows of pave set diamonds crossing over one another.;14k Rose Gold Diamond Criss Cross Ring;Beautiful and stylish, this criss cross ring features two rows of pave set diamonds crossing over one another.;;;7.25 mm;14k Rose Gold;Stuller;Diamond Rings;;;;0.17 ctw;G-H;SI2;$625,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
812308414;812308414;14k White Gold Diamond Snake Ring;This trendy diamond fashion ring features a snake design with pave set diamonds flowing along the top of the band. ;14k White Gold Diamond Snake Ring;This trendy diamond fashion ring features a snake design with pave set diamonds flowing along the top of the band. ;;;20 mm;14k White Gold;Stuller;Diamond Rings;;;62;0.33 ctw;G-H;SI2;$1150,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
